name,Y1 effective survey area ,median Y1 $i$-band coadded depth in effective survey area,std in Y1 $i$-band coadded depth in effective survey area,Y3 effective survey area ,median Y3 $i$-band coadded depth in effective survey area,std in Y3 $i$-band coadded depth in effective survey area,Y6 effective survey area ,median Y6 $i$-band coadded depth in effective survey area,std in Y6 $i$-band coadded depth in effective survey area,Y10 effective survey area ,median Y10 $i$-band coadded depth in effective survey area,std in Y10 $i$-band coadded depth in effective survey area
agnddf_v1.4_10yrs.db,15164.88,25.1,0.16,15268.85,25.71,0.14,15201.44,26.05,0.14,15154.65,26.31,0.13
alt_roll_mod2_dust_sdf_0.20_v1.4_10yrs.db,16734.73,25.0,0.16,16378.82,25.54,0.18,15909.07,25.92,0.15,16027.99,26.19,0.13
baseline_2snapsv1.4_10yrs.db,14943.1,25.04,0.15,15148.78,25.65,0.13,14986.85,25.99,0.13,14926.47,26.25,0.12
baseline_v1.4_10yrs.db,15124.18,25.09,0.16,15250.44,25.69,0.14,15107.5,26.03,0.14,15048.22,26.29,0.13
bulges_bs_v1.4_10yrs.db,16865.19,24.99,0.16,17205.94,25.62,0.14,16903.37,25.96,0.14,16717.84,26.22,0.13
bulges_bulge_wfd_v1.4_10yrs.db,17044.74,24.99,0.16,17230.65,25.61,0.14,16808.17,25.95,0.13,16604.69,26.22,0.13
bulges_cadence_bs_v1.4_10yrs.db,16770.03,24.99,0.16,17229.39,25.61,0.14,16901.64,25.96,0.13,16706.4,26.22,0.13
bulges_cadence_bulge_wfd_v1.4_10yrs.db,16886.96,24.99,0.16,17233.27,25.61,0.14,16925.62,25.95,0.13,16665.38,26.21,0.13
bulges_cadence_i_heavy_v1.4_10yrs.db,16848.45,24.99,0.16,17114.04,25.61,0.14,16744.75,25.95,0.13,16565.45,26.21,0.13
bulges_i_heavy_v1.4_10yrs.db,16906.78,25.0,0.16,17214.12,25.61,0.14,16815.67,25.95,0.13,16635.43,26.21,0.13
dcr_nham1_v1.4_10yrs.db,15117.46,25.07,0.16,15246.08,25.69,0.14,15171.39,26.03,0.13,15123.86,26.3,0.13
dcr_nham2_v1.4_10yrs.db,15055.83,25.07,0.16,15254.27,25.71,0.14,15172.65,26.04,0.13,15139.49,26.3,0.13
dcr_nham3_v1.4_10yrs.db,15141.64,25.06,0.15,15262.08,25.7,0.14,15180.93,26.04,0.13,15138.18,26.31,0.13
dcr_nham4_v1.4_10yrs.db,15132.99,25.05,0.15,15278.61,25.69,0.13,15208.26,26.04,0.13,15165.62,26.31,0.13
dcr_nham5_v1.4_10yrs.db,15119.98,25.07,0.16,15260.93,25.7,0.14,15187.44,26.04,0.13,15177.52,26.31,0.13
descddf_v1.4_10yrs.db,15246.5,25.1,0.16,15273.62,25.71,0.14,15200.08,26.04,0.13,15155.39,26.31,0.13
euclidddf_v1.4_10yrs.db,15174.01,25.1,0.16,15251.54,25.7,0.14,15145.16,26.03,0.13,15087.61,26.29,0.13
footprint_add_mag_cloudsv1.4_10yrs.db,15370.88,25.08,0.16,15453.34,25.69,0.14,15337.72,26.03,0.14,15236.38,26.29,0.13
footprint_big_sky_dustv1.4_10yrs.db,17301.93,25.06,0.17,17714.18,25.68,0.15,17344.63,26.02,0.15,17167.49,26.28,0.14
footprint_big_sky_nouiyv1.4_10yrs.db,16625.99,25.1,0.17,16705.67,25.71,0.16,16452.15,26.05,0.15,16303.23,26.31,0.15
footprint_big_skyv1.4_10yrs.db,16636.48,25.08,0.18,16746.74,25.7,0.16,16507.17,26.04,0.15,16330.08,26.3,0.15
footprint_bluer_footprintv1.4_10yrs.db,15046.44,25.05,0.17,14836.09,25.6,0.13,14562.32,25.94,0.12,14400.18,26.19,0.12
